country,period,year,population,attendances_type1,breaches_4hr_type1,waits_12hr,pct_4hr_type1,attendances_per_100k,breaches_4hr_per_100k,waits_12hr_per_100k
Scotland,2020-02-01,2020,5408900,106520.0,15536.0,953.0,85.41494555013142,1969.346817282627,287.23030560742484,17.619109245872544
Scotland,2020-03-01,2020,5408900,84631.0,10361.0,436.0,87.75744112677388,1564.6619460518773,191.55465991236667,8.060788700105382
Scotland,2020-04-01,2020,5408900,57123.0,3208.0,11.0,94.38404845683876,1056.0927360461462,59.3096563071974,0.20336852225036514
Scotland,2020-05-01,2020,5408900,77410.0,3546.0,16.0,95.41919648624209,1431.1597552182513,65.5586163545268,0.2958087596368948
Scotland,2020-06-01,2020,5408900,88469.0,4225.0,22.0,95.22431586205337,1635.6190722697777,78.11200059161752,0.4067370445007303
Scotland,2020-07-01,2020,5408900,96827.0,5286.0,24.0,94.54077891497207,1790.1421730851005,97.72781896503909,0.44371313945534213
Scotland,2020-08-01,2020,5408900,104675.0,8357.0,50.0,92.0162407451636,1935.2363696869973,154.5046127678456,0.924402373865296
Scotland,2020-09-01,2020,5408900,98889.0,8780.0,178.0,91.12135829060865,1828.2645269833051,162.325056850746,3.290872450960454
Scotland,2020-10-01,2020,5408900,92284.0,10830.0,244.0,88.26448788522387,1706.1509733956998,200.22555417922314,4.511083584462645
Scotland,2020-11-01,2020,5408900,86200.0,9883.0,304.0,88.53480278422275,1593.6696925437707,182.71737321821442,5.620366433101
Scotland,2020-12-01,2020,5408900,82917.0,12334.0,615.0,85.12488392006465,1532.973432675775,228.03157758509124,11.37014919854314
Scotland,2021-01-01,2021,5412900,76855.0,11452.0,594.0,85.09921280333094,1419.8488795285336,211.56866005283675,10.973784847309206
Scotland,2021-02-01,2021,5412900,71846.0,10690.0,473.0,85.12095314979261,1327.3106837369987,197.49117848103606,8.738384230264737
Scotland,2021-03-01,2021,5412900,92790.0,11404.0,315.0,87.7098825304451,1714.2382087236047,210.6818895601249,5.819431358421548
Scotland,2021-04-01,2021,5412900,102785.0,12559.0,202.0,87.7812910444131,1898.8896894455838,232.01980454100388,3.7318258234957233
Scotland,2021-05-01,2021,5412900,114823.0,15861.0,404.0,86.1865654093692,2121.284339263611,293.0222246854736,7.463651646991447
Scotland,2021-06-01,2021,5412900,120690.0,19668.0,514.0,83.7037037037037,2229.6735576123706,363.3542093886826,9.49583402612278
Scotland,2021-07-01,2021,5412900,116770.0,23646.0,765.0,79.74993577117411,2157.2539673742353,436.84531397217756,14.13290472759519
Scotland,2021-08-01,2021,5412900,120006.0,29226.0,1405.0,75.64621768911555,2217.0370780912262,539.9323837499308,25.956511297086593
Scotland,2021-09-01,2021,5412900,116167.0,30099.0,1890.0,74.08988783389431,2146.113913059543,556.0605220861275,34.91658815052929
Scotland,2021-10-01,2021,5412900,110434.0,31830.0,2545.0,71.17735480015213,2040.2002623362707,588.0396829795488,47.01731049899315
Scotland,2021-11-01,2021,5412900,105755.0,27445.0,1793.0,74.04850834475911,1953.7586136821296,507.0295035932679,33.124572779840754
Scotland,2021-12-01,2021,5412900,99620.0,25892.0,1682.0,74.00923509335475,1840.4182600823958,478.3387832769864,31.073916015444585
Scotland,2022-01-01,2022,5447000,98352.0,25582.0,2232.0,73.98934439564016,1805.6177712502297,469.65302001101526,40.97668441343859
Scotland,2022-02-01,2022,5447000,97621.0,27314.0,2313.0,72.02036447075938,1792.1975399302369,501.4503396364971,42.46374150908757
Scotland,2022-03-01,2022,5447000,114097.0,35716.0,4015.0,68.69681060851731,2094.675968422985,655.7003855333211,73.71029924729208
Scotland,2022-04-01,2022,5447000,108061.0,33079.0,3533.0,69.38858607638278,1983.862676702772,607.2884156416376,64.86139159170186
Scotland,2022-05-01,2022,5447000,121689.0,36201.0,3235.0,70.2512141606883,2234.0554433633192,664.604369377639,59.39049017807967
Scotland,2022-06-01,2022,5447000,118546.0,37637.0,3768.0,68.2511430162131,2176.3539563062236,690.9675050486507,69.17569304204149
Scotland,2022-07-01,2022,5447000,112606.0,37393.0,4434.0,66.79306608884073,2067.3031026252984,686.4879750321278,81.40260693959978
Scotland,2022-08-01,2022,5447000,117457.0,39571.0,4891.0,66.31022416714202,2156.361299798054,726.4732880484671,89.79254635579218
Scotland,2022-09-01,2022,5447000,114737.0,39144.0,5067.0,65.88371667378439,2106.4255553515695,718.634110519552,93.02368276115293
Scotland,2022-10-01,2022,5447000,113454.0,40529.0,6596.0,64.27715197348705,2082.8713053056726,744.060950982192,121.09418028272445
Scotland,2022-11-01,2022,5447000,110809.0,39490.0,5178.0,64.36210055139927,2034.3124655773822,724.9862309528181,95.06150174407931
Scotland,2022-12-01,2022,5447000,115074.0,47557.0,8291.0,58.672680188400506,2112.6124472186525,873.086102441711,152.21222691389755
Scotland,2023-01-01,2023,5506000,99286.0,34165.0,6341.0,65.58930765666861,1803.2328369051943,620.504903741373,115.1652742462768
Scotland,2023-02-01,2023,5506000,96710.0,32263.0,4579.0,66.63943749353737,1756.4475118053033,585.9607700690157,83.16382128586996
Scotland,2023-03-01,2023,5506000,112339.0,39543.0,5881.0,64.80029197340194,2040.3014892844171,718.1801670904468,106.81075190701053
Scotland,2023-04-01,2023,5506000,108787.0,37018.0,3805.0,65.97203710002114,1975.7900472212132,672.3211042499091,69.10642934980022
Scotland,2023-05-01,2023,5506000,120119.0,39062.0,3758.0,67.48058175642488,2181.6018888485287,709.4442426443879,68.25281511078823
Scotland,2023-06-01,2023,5506000,118116.0,36235.0,3006.0,69.32253039385012,2145.22339266255,658.1002542680712,54.59498728659644
